lang,ENGLISH,RUSSIAN,ITALIAN
,[C or CTRL],[C или CTRL],[C o CTRL]
, - Skip Text, - Пропуск текста,- Salta i Dialoghi
,[F4],[F4],[F4]
, - Fullscreen, - Полный экран,- Schermo Intero
,[Hold EXC],[Зажать ESC],[Tieni Premuto ESC]
, - Quit, - Выйти,- Esci
,This game has controller support,Игра поддерживает геймпад,Questo gioco supporta i controller
,,,
start_text2,Language,Язык,Lingua
,English,Английский,Inglese
,Russian,Русский,Russo
,Italian,Итальянский,Italiano
,,,
gameOver,Retry battle,Попробовать снова,Riprova la battaglia
,Return to title screen,В главное меню,Torna alla schermata del titolo
,,,
m_1,Start,Старт,Inizia
,Config,Настройки,Impostazioni
,Credits,Титры,Crediti
,Extras,Бонусы,Extra
,End Program,Выйти из игры,Chiudi Gioco
,,,
m_1e,OFF,ВЫКЛ.,OFF
,ON,ВКЛ.,ON
,,,
m_2,Language,Язык,Lingua
,Music Volume,Громкость музыки,Volume Musica
,Sound Volume,Громкость звуков,Volume Suoni
,Controls,Управление,Comandi
,Simplify VFX,Упрощенная графика,Semplifica VFX
,Fullscreen,Полный экран,Schermo Intero
,Keystrokes,Отсл. клавиш,Mostra Tasti
,Speedrun Timer,Таймер,Timer Speedrun
,No-Hit,Без урона,No-Hit
,Back_sd,Назад_sd,Indietro_sd
,,,
m_2e,CONFIG,НАСТРОЙКИ,IMPOSTAZIONI
,ENG,РУС,ITA
,,,
m_3,DOWN,ВНИЗ,GIÙ
,RIGHT,ВПРАВО,DESTRA
,UP,ВВЕРХ,SU
,LEFT,ВЛЕВО,SINISTRA
,CONFIRM,ПОДТВ.,CONFERMA
,CANCEL,ОТМЕНА,CANCELLA
,MENU,МЕНЮ,MENÙ
,Reset to default,Сбросить,Imposta predefinito
,Finish_sd,Завершить_sd,Termina_sd
,,,
m_3e,Function,Функция,Funzione
,Key,Клавиша,Tasto
,,,
m_3e2_1,Up,Вверх,Su
m_3e2_2,Down,Вниз,Giù
m_3e2_3,Left,Влево,Sinistra
m_3e2_4,Right,Вправо,Destra
,,,
m_4,Inventory,Инвентарь,Inventario
,Music Style,Музыка,Stile Musica
,Debug Room,Комната отладки,Stanza di Debug
,Erase Save,Стереть сохранение,Cancella salvataggio
,Challenge Mode,Режим испытания,Modalità Sfida
,Custom Mode,Свой режим,Mod. Personalizzabile
,Music Player,Музыкальный плеер,Stereo
,Back_sd,Назад_sd,Indietro_sd
,,,
m_4e,Page ,Страница,Pagina
,Press ,Нажми,Premi
, to View and Move the image., чтобы просмотреть и передвигаться по изображению., per Visualizzare e Muovere l'immagine.
,Press ,Нажми,Premi
, to return to page select., чтобы вернуться к выбору страницы., per tornare alla selezione della pagina.
,,,
m_4e2,Page:,Страница:,Pagina:
,,,
m_4e3,(Default),(Стандартная),(Predefinito)
,(Classic 2023),(Классическая 2023),(Originale 2023)
,(ON),(ВКЛ.),(ON)
,(OFF),(ВЫКЛ.),(OFF)
,,,
m_5,Start,Старт,Inizia
,Skip intro,Пропустить интро,Salta la intro
,,,
m_6,A,А,A
,B,Б,B
,Back_sd,Назад_sd,Indietro_sd
,,,
m_6e,???,???,???
,FluffGlove,ПухЧатка,CottonGuanto
,AstralCane,АстралТрость,StaffAstrale
,If you equip this the (triple jump) will always be enabled.,При экипировке (тройной прыжок) будет всегда активен.,"Se lo equipaggi, il (triplo salto) sarà sempre attivo."
,If you equip this the (ground pound) will always be enabled.,При экипировке (удар вниз) будет всегда активен.,"Se la equipaggi, lo (schianto a terra) sarà sempre attivo."
,,,
1_1,* As you make your way further through the city€€€€€€ you gaze far into the horizon.,"* Продвигаясь вглубь города,€€€€€€ ваш взор устремляется за горизонт. ",* Mentre ti fai strada per la città€€€€€€ osservi l'orizzonte.
,* The earth is painted raw€€€€€€ and black.,* Земля окрашена склизкой€€€€€€ тьмой. ,* La terra ha un colorito nero€€€€€€ e pallido.
,* Smokestacks of Blac-INC factories coat the air in dark clouds.,"* Отходы фабрик Чернь-КОРП, окутывают небо чёрными тучами.",* Le ciminiere dei Tuorli Fumaioli coprono il cielo con delle nuvole nere.
,* Enveloping into weird€€€€€€ and twisted shapes.,"* Извиваясь в странных,€€€€€€ жутких формах. ",* Creando delle forme strane€€€€€€ e contorte.
,* An industrial dystopolis towers in the distance.€€€€€€ £* A place of progress.,* Промышленная дистопия возвышается вдалеке.€€€€€€ £* Очаг прогресса.,* Una landa industriale si erge in lontananza.€€€€€€ £* Un luogo rivoluzionario.
,* Welcome€€€€€€ to @_cpThe World of Tomorrow,* Добро пожаловать€€€€€€ в @_cpМИР ЗАВТРАШНЕГО ДНЯ,* Benvenuti€€€€€€ nel @_cpMondo del Domani
,,,
1_2,"* The air flows humid,€€€€€€ and it's hard to breathe.","* Сырой воздух окружает вас,€€€€€€ дышать становится тяжело.","* L'aria è umida,€€€€€€ ed è difficile da respirare."
,"* It stings in your lungs,€€€€€€ your eyes begin to squint.","* Он обжигает ваши легкие,€€€€€€а веки слипаются.","* Ti punge i polmoni,€€€€€€ e ti fa lacrimare gli occhi."
,* You have to cover your mouth...€€€€€€ £* The smell makes you nauseous...,* Приходится прикрывать рот...€€€€€€ £* Запах вызывает тошноту...,* Devi coprirti la bocca...€€€€€€ £* L'odore ti dà la nausea...
,,,
1_3,"* Somewhere€€€€€€ in the darkness,€€€€€€ a collective voice calls out:","* Где-то там,€€€€€€ в темноте,€€€€€€ единый голос взывает к вам:","* Da qualche parte nell'oscurità,€€€€€€ una voce collettiva ti richiama:"
,* ¤Shatter the blinding shadow¤,* ¤Сокрушите ослепляющую тьму¤,* ¤Infrangi l'ombra accecante¤
,* ¤And restore the life of this land¤,* ¤И вновь вдохните жизнь в эти земли¤,* ¤E riporta la vita a questa terra¤
,,,
1_4,* Is that an egg?,"* Это чё, €€€€€€яйцо?",* Ma quello è un uovo?
,* I could use an omelette right about now.,* От омлета я бы сейчас не отказалась.,* Adesso mi è venuta voglia di mangiare una frittata.
,,,
sign_ok,* ok.,* ок.,* ok
,,,
sign_1,SANS! €€€€€€ £ PLEASE PICK UP YOUR SOCK!,САНС! €€€€€€ £ ПОДНИМИ КА СВОЙ НОСОК!,SANS! €€€€€€ £ RACCOGLI IL TUO CALZINO!
,,,
sign_2,DON'T PUT IT BACK DOWN! €€€€€€MOVE IT!,НЕ КЛАДИ ЕГО ОБРАТНО! €€€€€€ПЕРЕДВИНЬ ЕГО!,NON RIMETTERLO PER TERRA!€€€€€€ SPOSTALO!
,,,
sign_3,YOU MOVED IT TWO INCHES! €€€€€€ £ MOVE IT TO YOUR ROOM!,ТЫ ПЕРЕДВИНУЛ ЕГО НА ДВА САНТИМЕТРА! €€€€€€£ОТНЕСИ ЕГО К СЕБЕ!,LO HAI SPOSTATO DI DUE CENTIMETRI! €€€€€€ £ SPOSTALO IN CAMERA TUA!
,,,
sign_4,AND DON'T BRING IT BACK!,И НЕ ВОЗВРАЩАЙ ЕГО!,E NON RIPORTARLO QUI!
,,,
sign_5,IT'S STILL HERE!,ОН ВСЁ ЕЩЁ ЗДЕСЬ!,È ANCORA QUI!
,,,
sign_6,* didn't you just say not to bring it back to my room?,* ты ж сам сказал не возвращать его обратно.,* non hai appena detto di non riportarlo in camera mia?
,,,
sign_7,FORGET IT!,ЗАБУДЬ!,LASCIA STARE!
,,,
,,,
,,,
2_1,* Wait up Kris.€€€€€€ £* Something's up ahead...,"* Погоди, Крис.€€€€€€ £* Там что-то есть...",* Aspetta€€€€€€ Kris.€€€€€€ £* C'è qualcosa più @avanti...
,,,
2_2,"* What,€€€€€€ the boxes?","* Что,€€€€€€ коробки?",* Intendi le scatole?
,,,
2_3,"* LOOK,€€€€€€ it's moving!","* СМОТРИТЕ,€€€€€€ они шевелятся!","* GUARDATE,€€€€€€ si sta muovendo!"
,,,
2_4,* .€€€.€€€.€€€€€€What?,* .€€€.€€€.€€€€€€Чё?,* .€€€.€€€.€€€€€€Cosa?
,AND€€€€€€ THEY ALL LIVED€€€€€€ HAPPILY€€€€€€ EVAH€€€€€€ AFTUH!,И€€€€€€ ЖЫЛИ АНИ€€€€€€ ДОЛГА€€€€€€ И€€€€€€ ЩАФЛИВО!,E VIFFERO€€€€€€ PER FEMPRE€€€€€€ FELICI€€€€€€ E CONTENTI!
,* Erm...€€€€€€ Is someone there?,* Э-э-э...€€€€€€ Здесь кто-то есть?,* Erm...€€€€€€ C'è qualcuno?
,,,
2_5,WELL DOLLY WEE JILLICKERS!,ЁФКИ ДА МАТРЁФКИ!,PER TUTTE LE CALZAMAGLIE!
,WHAT DO WE THPY€€€€€€ WITH OUR BUTTON EYE!,ФТО В МЫ ВИДИМ€€€€€€ НАФЕЙ ПУГАВКАЙ!,RIUSCIAMO A FPIARE QUALCOFA€€€€€€ COL NOFTRO BOTTONE!
,,,
2_6,COMPANY!,ДРУЗЯФКИ!,COMPAGNIA!
,WE ALWAYS ENJOY THEEING THOME NEW FACETH.,МЫ ВФЕГДА РАДЫ НОВЫМ ЛИТФАМ.,A NOI PIACE FEMPRE INCONTRARE QUALCUNO DI NUOVO.
,,,
2_7,"* I'm sorry,€€€€€€ did you say ¤we¤?","* Извините,€€€€€€ вы сказали ¤мы¤?","* Chiedo scusa,€€€€€€ hai detto ¤noi¤?"
,DOOHOHOH!€€€€€€ OF COURTHE!,ВУУХУХУХ!€€€€€€ КОНЕФНО!,DOOHOHOH!€€€€€€ MA CERTO!
,THE NAME'S SOCKSWALD€€€€€€ £IN'T THAT RIGHT £LIL' BUDDY?,ЖАВУТ НОСОКСВАЛЬД€€€€€€ £НЕ ТАК ЛИ £€€€€€€БРАТИФКА?,IL MIO NOME È SOCKSWALD.€€€€€€ NON È BERO PICCOLETTO?
,* ...,* ...,* ...
,* ...,* ...,* ...
,* ...,* ...,* ...
,OH HEY€€€€€€ WE JUST REMEMBERED!!!,"КФТАТИ,€€€€€€ МЫ ТОЛЬКА ВФПОМНИЛИ!!!",OH EHI€€€€€€ CI FIAMO APPENA RICORDATI!!!
,YOU GUYS SHOULD COME OVAH TO OUR PLACE!,"ВЫ, РЕБЯТКИ, ДОЛВНЫ ПРИЙТИ К НАМ В ГОФТИ!",VOI TRE DOVREFTE VENIRE A CAFA NOFTRA!
,IT'S FULLA NEAT STUFF WE CAN SHOW YA!,ТАМ ЕСТЬ МНОГА КЛАФФНЫХ ФТУК!,CI SONO COFÌ TANTE COFE DA FARVI VEDERE!
,"* Oh well,€€€€€€ sure thing Sockswald!€€€€€€ £* We'd love to.","* Что ж,€€€€€€ конечно, €€€€€€Носоксвальд!€€€€€€ £* С удовольствием.","* Oh beh,€€€€€€ certamente Sockswald!€€€€€€ £* Sarà un nostro piacere."
,YIPPEE!€€€€€€ WE'LL BE RIGHT UP AHEAD!,УРЭЭЭ!€€€€€€ МЫ ВАФ ТАМ ПОДОВДЁМ!,EVVIVA!€€€€€€ VI AFPETTIAMO PIÙ AVANTI!
,,,
2_8,* ...,* ...,* ...
,,,
,,,
  ,,,
3_1,I WON'T FORGET WHAT I SAW!,"Я НЕ ЗАБУДУ, ЧТО УВИДЕЛ!",NON DIMENTICHERÒ CIÒ CHE HO VISTO!
3_2,I WISH £I WISH £I WISH,Я ЖЕЛАЮ £Я ЖЕЛАЮ £Я ЖЕЛАЮ,DESIDERO CHE £DESIDERO CHE £DESIDERO CHE
3_3,"THE STARS SAY IT ALL, WHEN THEY COME BACK I WILL KNOW IT ALL.","ЗВЁЗДЫ ГОВОРЯТ ВСЁ, КОГДА ОНИ ВЕРНУТСЯ, Я БУДУ ЗНАТЬ ВСЁ.","LE STELLE DICONO TUTTO, QUANDO TORNERANNO SAPRÒ TUTTO."
3_4,"THE STARS ARE ALL GONE, EVERY THING CHANGED SO FATHT...","ЗВЁЗДЫ ВСЕ ИФЧЕЗЛИ, ВСЁ ИВМЕНИЛОСЬ ТАК БЫФТРО...","LE STELLE SONO SPARITE, TUTTO È CAMBIATO COFÌ IN FRETTA..."
3_5,YOU NEVER FORGET,ТЫ НИКОГДА НЕ ЗАБУДЕШЬ,TU NON DIMENTICHI MAI
,IT JUST€€€€€€€€€ TAKES A WHILE TO REMEMBER...,"ПРОСТО€€€€€€€€€ НУЖНО ВРЕМЯ, ЧТОБЫ ЗАПОМНИТЬ...",È SOLO CHE€€€€€€€€€ CI VUOLE UN PO' A RICORDARE...
3_6,I AM SOCKSWALD€€€€€€ YOUR NAME IS SOCKSWALD,Я НОСОКСВАЛЬД€€€€€€ ТВОЁ ИМЯ НОСОКСВАЛЬД,IO SONO SOCKSWALD€€€€€€ IL TUO NOME È SOCKSWALD
3_7,WHAT DID THE SOCK SAY TO THE OTHER SOCK?,ФТО НОФОК ФКАВАЛ ДРУГОМУ НОФКУ?,PERCHÉ I CALZINI SPAIATI SONO SEMPRE TRISTI?
,YOU'RE MY€€€€€€ SOLE€€€€€€-MATE!,МЫ ДВА€€€€€€ ФАПОГА€€€€€€ ПАРА!,PERCHÉ SI SENTONO SOLI SENZA LA LORO METÀ!
,* The signs above read jokes of similar caliber.,* На табличках выше шутки похожего типа.,* Sui cartelli di sopra sono scritte delle battute dello stesso calibro.
3_8,* It's some kind of upwards Hall-of-Tallys.,"* Судя по всему, кто-то здесь что-то считал.",* Sembra una qualunque parete della cella di una prigione.
,,,
,,,
,,,
4_1,* Hold on Kris.,"* Погоди, Крис.","* Un attimo,€€€€€€ Kris."
,,,
4_2,* I don't know about this.€€€€€€ £* I have a weird feeling @in my gut...,* Я как-то сомневаюсь.€€€€€€ £* Какое-то у меня странное @предчувствие...,* Non ne sono così sicura.€€€€€€ £ * Ho un brutto presentimento...
,"* Susie,€€€€€€ I'll bake all the omelets you want as soon as we get home.","* Сьюзи,€€€€€€ я приготовлю тебе столько омлетов, сколько захочешь, как вернёмся.","* Susie,€€€€€€ ti cucinerò un sacco di frittate quando torneremo a casa."
,* Really?,* Правда?,* Davvero?
,* I mean-€€€€€€ NO. €€€€€€It's not that.,* В смысле...€€€€€€ НЕТ. €€€€€€Я не об этом.,* Cioè-€€€€€€ NO. €€€€€€Non intendevo quello.
,* It's just that this guy is definitely insane!,"* Я про то, €€€€€€что этот чел явно поехавший!",* È solo che quel tizio sembra completamente pazzo!
,* Talking to themselves...€€€€€€ £* Digging in the trash...,* Разговаривает сам с собой...€€€€€€ £* Роется в мусоре...,* Parlare a sè stesso...€€€€€€ £* Ravanare nella spazzatura...
,,,
4_3,* We've met€€€€€€ enough weirdos that try to kill us.,"* Мы повстречали€€€€€€ достаточно чудаков, пытающихся нас убить.",* Abbiamo già incontrato abbastanza gente con intenzioni omicide.
,"* Oh Susie,€€€€€€ don't think of it like that,€€€€€€ they seem friendly!","* Сьюзи,€€€€€€ не думай об этом,€€€€€€ он выглядит дружелюбным!","* Oh Susie,€€€€€€ non pensarla così,€€€€€€ sembra amichevole!"
,* They're an odd fellow for sure...,"* Он, конечно, немного странный...",* Di sicuro è un tipo strano...
,* But Kris never misses the opportunity to make a new friend.,* Но Крис никогда не упускает возможность завести нового друга.,* Ma Kris non esiterebbe a farsi un altro amico.
,* ...€€€€€€Like when they met you!,"* ...€€€€€€Как тебя, €€€€€€например!",* ...€€€€€€Proprio come ha fatto con te!
,,,
4_4,* ...,* ...,* ...
,"* Alright,€€€€€€ fine.","* Ладно,€€€€€€ уговорил.",* D'accordo.
,* This ¤Neat Stuff¤€€€€€€ better be worth it.,* Надеюсь эти ¤классные штуки¤€€€€€€ хоть чего-то стоят.,* Però ne deve valere la pena.
,* That's the spirit!,* Вот это настрой!,* Questo sì che è lo spirito giusto!
,* I'm sure whatever they got will come in€€€€€€ ¤Handy¤,"* Я уверен, что бы это ни было, оно сыграет нам€€€€€€ ¤на руку¤.",* Sono sicuro che riuscirà a darci una€€€€€€ ¤Mano¤.
,,,
,,,
,,,
5_1,* It's a box of blank signs just begging to be scrawled on.,"* Коробка пустых табличек, прямо кричащих о том, чтобы на них что-то написали.",* È una scatola di cartelli bianchi che desiderano essere scarabocchiati.
,"THEIR LIDDLE SIGN VOICETH ARE CUTE, AIN'T THEY?","МИЛЕНЬКЫЕ ТАБЛИШЬКИ, ФТО ДУМАИТИ?",NON È CARINO IL MODO IN CUI PARLANO QUEI CARTELLI?
,,,
5_2,* How this humble glass beaker can hold the destructive force of molten rock is a mystery.,"* Как эта стекляшка выдерживает разрушительную силу магмы, остается загадкой.",* Non si sa come questo bicchiere riesca a sorreggere questa lampada.
,,,
5_3,* Family of One - 202X,* Семья из одного - 202Х,* Foto di Famiglia - 202X
,* You don't recognise anyone in this photo.,* Вы не узнаёте никого на фото.,"* C'è solo una persona in questa foto, e non la riconosci."
,,,
5_4,* This awkwardly shaped lamp seems...€€€€€€ Inconvenient.,* Эта странно выглядящая лампа выглядит...€€€€€€ неподходящей.,"* Questa lampada è alquanto stramba, €€€€€€sembra...€€€€€€ Sconveniente."
,* Where do you even get all this stuff?,* Где ты берёшь всё это?,* Ma dove la trovi tutta questa roba?
,"THAME ATH ANYBUDDY ELTH,","ТАКЗЕ КАК И ВФЕ ОФТАЛЬНЫЕ,","FACCIO COME TUTTI GLI ALTRI,"
,THAT DIGNY WINGY'TH DUMPING GROUND!,ПРОФТО ВОТ ТАК ВОТ ИДЕФ И БЕРЕФ ПОВФЮДУ!,VADO NELLA DIFCARICA DI QUEL DINGOTTO WINGOTTO!
,* The more this guy speaks the less I understand...,"* Чем больше он говорит, тем меньше я понимаю...",* Più questo tizio parla e meno lo capisco...
,,,
5_5,"THAT'TH OUR ROOMIE,€€€€€€ SANDY!","ЭТО НАФ ФОФЕДУФКА,€€€€€€ СЭНДИ!","QUELLA È SANDY,€€€€€€ LA NOFTRA COINQUILINA!"
,WE DON'T ALWAYTH GET ALONG€€€€€€ BUT WE APPRECIATE THE COMPANY!,"МЫ НЕ ВФЕГДА ЛАДИМ,€€€€€€ НО КОМПАНИЯ - ВФЕГДА ПРИЯТНО!",A VOLTE LITIGHIAMO€€€€€€ MA LE VOGLIAMO BENE COMUNQUE!
,,,
5_6,* It's a large home-made star.,* Это большая самодельная звезда.,* È una grossa stella fatta in casa.
,"* Actually,€€€€€€ it's quite small for star standards.","* По правде говоря,€€€€€€ маловата для звёздного стандарта.","* A dire il vero,€€€€€€ è piuttosto piccola rispetto ad una stella normale."
,"WELL GEE,€€€€€€ THITH ITH EMBARRATHING...","ЁФКИН КОТ,€€€€€€ ЭТО НАФ ФМУФЯЕТ...","OH CAVOLETTI,€€€€€€ QUESTO FÌ CHE È IMBARAZZANTE..."
,"WE HAVEN'T GOTTEN TO PUTTING THAT ONE UP YET,","МЫ ЭТУ ПОКА ФТО НЕ ПОВЕФИЛИ,",NON FIAMO ANCORA RIUSCITI AD APPENDERLA.
,IT'TH WAY HEAVIUH THAN WE THOUGHT...,"ОНА НАМНОГА ТЯВЕЛЕЕ, ТЬФЕМ МЫ ДУМАЛИ...",È PIÙ PEFANTE RIFPETTO ALLE ALTRE...
,"* Well,€€€€€€ Susie's strong,€€€€€€ maybe she could put it up for you!","* Ну,€€€€€€ Сьюзи сильная,€€€€€€ думаю, она поможет тебе её повесить!","* Beh,€€€€€€ Susie è forte,€€€€€€ magari può appenderla lei!"
,"* (Their head is literally a giant arm,€€€€€€ they can do it themselves...)","* (Его башка - огроменная ручища,€€€€€€ он может это и сам сделать...)","* (La sua testa è un braccio gigante,€€€€€€ non vedo il problema...)"
,,,
5_7,* This space is designated to the arts of the crafty-kind.,* Это место предназначено для занятия искусствами.,* Questo bancone è riservato alle Arti del Mestiere.
,DON'T€€€€€€ TOUCH€€€€€€ ANYTHIJG!,НИТФЕВО€€€€€€ НИ€€€€€€ ТРОГАЙТИ!,NON€€€€€€ TOCCARE €€€€€€NULLA!
,WE'RE STILL PREPARING THOME PROPTH€€€€€€ FOR OUR PLAY! €€€€€€DOOHOHOH!,МЫ ВФЁ ЕФЁ ПОДГОТАВЛИВАЕМФЯ€€€€€€ ДЛЯ ФТФЕНКИ! €€€€€€ВУУХУХУХ!,NON ABBIAMO ANCORA FINITO QUEGLI OGGETTI DI SCENA!
,,,
5_8,"* When you look out through it,€€€€€€ it looks back in through you.","* Если долго смотреть во тьму, €€€€€€она посмотрит в ответ.","* È come se mentre ci guardi attraverso,€€€€€€ ti guardasse attraverso."
,,,
5_9,HELLO,ПРИВЛЕТ,CIAO
,,,
5_10,COME COME SEE OUR WEARS!,"ПРИДИТИ, ПОФМОТРИТИ НА НАФЕ БАРАХЛО!",ACCORRETE FIGNORE E FIGNORI!
,,,
,,,
,,,
shop_text,Buy,Купить,Compra
,Sell,Продать,Vendi
,Talk,Говорить,Parla
,Exit,Выйти,Esci
,--SOLD OUT--,--ПРОДАНО--,--ESAURITO--
,Buy it for,Купить за,Compra per
,Yes,Да,Sì
,No,Нет,No
,,,
6_1_1,About Yourselves,О вас,Su Di Voi
,,,
6_2_1,Stars,Звёзды,Le Stelle
,,,
6_3_1,Dark Fountain,Тёмный фонтан,Fontana Oscura
,,,
6_4_1,What happened here?,Что здесь случилось?,Cos'è successo qui?
6_4_2,Play?,Сценка?,Spettacolo?
6_4_3,Let us help!,Мы поможем!,Vi diamo una mano!
,,,
6_5,Exit,Выйти,Esci
,,,
7_0,Yolkshire Pudding,Всмятпеканка,TuorloCremè
,Sockage Roll,Сосиска в шерсти,Calziccia
,Starfruit,Звёздный плод,Baccastella
,Play Ticket,Билет на сценку,Biglietto
,Exit,Выйти,Esci
,,,
7_1,ITEM,ПРЕДМ.,OGGETTO
,A bowl of,Выпечка,Gustooso fino
,eggy delight.,из яиц.,al tuorlo.
,Å10HP,Å10ОЗ,Å10PS
,,,
7_2,ITEM,ПРЕДМ.,OGGETTO
,A well baked,Испечённый,Una calza ben
,sock.,носок.,incalzata.
,Å50HP,Å50ОЗ,Å50PS
,,,
7_3,ITEM,ПРЕДМ.,OGGETTO
,A tropical,Тропический,Una stella
,fruit-shaped,фрукт в,tropicale e
,star.,форме звезды.,fruttiforme.
,Å100HP,Å100ОЗ,Å100PS
,,,
7_4,KEYITEM,КЛЮЧ. ПРЕДМ.,OGGETTOCHIAVE
,Redeem for,Узнать,Necessario
,natural,истинную,per vedere
,backstory.,предысторию.,lo spettacolo.
,,,
7_5,Space: ,Место:,Spazio:
,,,
8_1,SOCKSWALD'TH THE NAME!€€€€€€ £AND PLAYTH ARE THE GAME!,НАФ НОСОКСВАЛЬД ЖВАТЬ!€€€€€€ £И ФТФЕНКА БУДИТ ИГРАТЬ!,SOCKSWALD MI CHIAMO!€€€€€€ £E GLI FPETTACOLI AMO!
,WAIT€€€€€€ THAT DIDN'T THOUND RIGHT...,ПОГОДИТИ€€€€€€ КАК-ТО ФТРАННО ЖВУТЩАЛО...,"AFPETTA, €€€€€€LAFFA CHE MI FPIEGHI MEGLIO..."
,WE MEAN WE DO STAGEPLAYTH!€€€€€€ £OR THAT'TH HOW WE PATH THE TIME AT LEATHT.,В ФМЫФЛЕ МЫ ИГРАЕМ ФТФЕНКИ!€€€€€€ £ПО КРАЙНЕЙ МЕРЕ МЫ ТАК ПРОВОДИМ ДОФУГ.,FIAMO UNA COMPAGNIA TEATRALE!€€€€€€ £PAFFIAMO IL TEMPO FACENDO £FPETTACOLI!
,"THE PROPTH,€€€€€€ THE THTORY,€€€€€€ THE€€€€€€ THEATRICTH,€€€€€€ IT'S ALL SO €€€€€€TH-FREEING! €€€€€€DOOHOHOH!","ДЕКОРАТФИИ,€€€€€€ ИФТОРИЯ,€€€€€€ ТЕАТРАЛЬНОФТЬ,€€€€€€ ЭТО ВФЁ ТАК €€€€€€ОФВОБОЖДАЕТ! €€€€€€ВУУХУХУХ","IL PHATOF,€€€€€€ LE FTORIE,€€€€€€ LA TEATRALITÀ,€€€€€€ È TUTTO COFÌ LIBERATORIO! €€€€€€DOOHOHOH!"
,"IF WE REMEMBER,€€€€€€ IT'LL BE THE FIRTHT TIME WE HAVE AN AUDIENTH!","НАФКОЛЬКО МЫ ПОМНИМ,€€€€€€ У НАФ ВПЕРВЫЕ БУДУТ ЗРИТЕЛИ!","FE NON CI FBAGLIAMO,€€€€€€ È LA PRIMA VOLTA CHE ABBIAMO UN PUBBLICO!"
,"OTHERWITHE,€€€€€€ WE DOODLE,€€€€€€ THCRIBBLE,€€€€€€ THCRAWL,€€€€€€€€€€€€ AND GATHE UP AT WHERE THE STARS UTHED TO BE...","КРОМЕ ТОГО,€€€€€€ МЫ РИФУЕМ,€€€€€€ ПИФЕМ,€€€€€€ ТФАРАПАЕМ,€€€€€€€€€€€€ И ГЛЯДИМ ТУДА, ГДЕ РАНЬФЕ БЫЛИ ЗВЁЗДЫ...","ALTRIMENTI,€€€€€€ DIFEGNAMO,€€€€€€ FCRIVIAMO,€€€€€€ E GIOCHIAMO FOTTO LE FTELLE ORMAI FCOMPARFE..."
,,,
8_2,PRETTY LIL' THINGIETH €€€€€€AREN'T THEY?,"КРАФИВЕНЬКИЕ' ФТУТЬФКИ, €€€€€€ПРАВДА?","FONO COFÌ CARINE,€€€€€€ NON È VERO?"
,"THOME TIME AGO, €€€€€€THE SOCKS WOULD WHISPER THEIR WISHES TO THE STARS IN THE SKY.","ДАВНЫМ ДАВНО, €€€€€€НОФКИ ФЕПТАЛИ ФВОИ ЖЕЛАНИЯ ЗВЁЗДАМ НА НЕБЕ.","TEMPO FA, €€€€€€I CALZINI FUFFURRAVANO I LORO DEFIDERI ALLE FTELLE DEL CIELO."
